 848429 716852  467.32222   60  291  443.00000  475.29348  7.29%   114  916s
 852594 720544  453.63209   91  240  443.00000  475.28745  7.29%   114  920s
 856841 723777  460.27083   86  244  443.00000  475.27961  7.29%   114  925s
 861062 727736  452.46538  100  252  443.00000  475.27602  7.29%   115  930s
 866628 732377  461.07895   84  222  443.00000  475.26712  7.28%   115  936s
 870857 736134  463.16667   80  269  443.00000  475.26427  7.28%   115  941s
 875551 740151  474.95854   47  317  443.00000  475.25446  7.28%   115  945s
 880170 744029  466.83333   65  309  443.00000  475.25000  7.28%   115  950s
 884569 747794  450.48184  106  143  443.00000  475.25000  7.28%   115  955s
 888696 751405  458.81463   89  282  443.00000  475.25000  7.28%   115  960s
 894385 756612  457.58333   96  184  443.00000  475.24899  7.28%   115  966s
 898468 760601  470.71543   50  307  443.00000  475.24127  7.28%   115  970s
 902707 763852  456.80833   98  233  443.00000  475.23684  7.28%   115  975s
 908552 768795  454.96284   93  208  443.00000  475.22803  7.27%   115  981s
 912716 772278  468.12003   55  298  443.00000  475.22576  7.27%   115  985s
 916579 775907  448.33333  111  145  443.00000  475.22211  7.27%   115  990s
 920817 779534  454.30238  104  214  443.00000  475.22081  7.27%   115  995s
 924992 782963  467.23333   65  290  443.00000  475.21465  7.27%   115 1000s
 929537 786690  453.95238  114  196  443.00000  475.21088  7.27%   115 1005s
 933928 790553  473.22368   49  295  443.00000  475.20644  7.27%   115 1010s
 937928 794073  453.21940  107  217  443.00000  475.20246  7.27%   115 1015s
 943501 798331  457.41419   90  249  443.00000  475.20000  7.27%   115 1021s
 947264 801838  471.08425   56  312  443.00000  475.19444  7.27%   115 1026s
 951395 805375  471.07050   59  280  443.00000  475.19139  7.27%   115 1030s
 956366 809442  471.38262   52  328  443.00000  475.18452  7.27%   115 1036s
 960333 813236  447.25332  160  171  443.00000  475.17949  7.26%   116 1041s
 964449 816907  473.47208   50  322  443.00000  475.17500  7.26%   115 1046s
 968934 820660  448.55278   80  237  443.00000  475.16667  7.26%   116 1051s
 973441 824056  462.96702   73  278  443.00000  475.16667  7.26%   116 1056s
 977751 828000  468.70000   53  259  443.00000  475.16208  7.26%   116 1060s
